state_multiplier,bandwidth_gb_s,mode,wall_time_cycles,gpu_time_cycles,comm_time_cycles,overlap_cycles
,100,BASE,753056955760,15360,753056940400,0
,50,BASE,832518067280,15360,832518051920,0
,10,BASE,1468206954960,15360,1468206939600,0
,1,BASE,8619706951440,15360,8619706936080,0
10,100,REMOTE_SYNC,1207122667580,2035360,1207120632220,0
10,50,REMOTE_SYNC,1740647270920,2035360,1740645235560,0
10,10,REMOTE_SYNC,6008844093160,2035360,6008842057800,0
10,1,REMOTE_SYNC,54026058353560,2035360,54026056318200,0
10,100,REMOTE_ASYNC,1207122632988,2015360,1207122632220,2014592
10,50,REMOTE_ASYNC,1740647236328,2015360,1740647235560,2014592
10,10,REMOTE_ASYNC,6008844058568,2015360,6008844057800,2014592
10,1,REMOTE_ASYNC,54026058318968,2015360,54026058318200,2014592
100,100,REMOTE_SYNC,5293694093960,2035360,5293692058600,0
100,50,REMOTE_SYNC,9913790123700,2035360,9913788088340,0
100,10,REMOTE_SYNC,46874558357080,2035360,46874556321720,0
100,1,REMOTE_SYNC,462683200992720,2035360,462683198957360,0
100,100,REMOTE_ASYNC,5293694059368,2015360,5293694058600,2014592
100,50,REMOTE_ASYNC,9913790089108,2015360,9913790088340,2014592
100,10,REMOTE_ASYNC,46874558322488,2015360,46874558321720,2014592
100,1,REMOTE_ASYNC,462683200958128,2015360,462683200957360,2014592
1000,100,REMOTE_SYNC,46159408357880,2035360,46159406322520,0
1000,50,REMOTE_SYNC,91645218651520,2035360,91645216616160,0
1000,10,REMOTE_SYNC,455531700996240,2035360,455531698960880,0
1000,1,REMOTE_SYNC,4549254627384320,2035360,4549254625348960,0
1000,100,REMOTE_ASYNC,46159408323288,2015360,46159408322520,2014592
1000,50,REMOTE_ASYNC,91645218616928,2015360,91645218616160,2014592
1000,10,REMOTE_ASYNC,455531700961648,2015360,455531700960880,2014592
1000,1,REMOTE_ASYNC,4549254627349728,2015360,4549254627348960,2014592
10000,100,REMOTE_SYNC,454816550997040,2035360,454816548961680,0
10000,50,REMOTE_SYNC,908959503929840,2035360,908959501894480,0
10000,10,REMOTE_SYNC,4542103127387840,2035360,4542103125352480,0
10000,1,REMOTE_SYNC,,,,0
10000,100,REMOTE_ASYNC,454816550962448,2015360,454816550961680,2014592
10000,50,REMOTE_ASYNC,908959503895248,2015360,908959503894480,2014592
10000,10,REMOTE_ASYNC,4542103127353248,2015360,4542103127352480,2014592
10000,1,REMOTE_ASYNC,,,,0
