[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=2, tick=23640820712, node->id=3423, node->name=COMM_SEND_NODE_FWD_iter2_b7_dp1pp0tp0, node->type=5
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820712, node->id=4608, node->name=COMM_RECV_NODE_FWD_iter2_b7_dp1pp1tp0, node->type=6
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820712, node->id=4609, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820713, node->id=2191, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820713, node->id=2192, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820713, node->id=4609, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820713, node->id=4610, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820714, node->id=2192, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820714, node->id=2193, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820714, node->id=4610, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820714, node->id=4611, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820715, node->id=2193, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820715, node->id=2194, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820715, node->id=4611, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820715, node->id=4612, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820716, node->id=2194, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820716, node->id=2195, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820716, node->id=4612, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820716, node->id=4613, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820717, node->id=2195, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820717, node->id=2196, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820717, node->id=4613, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820717, node->id=4614, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820718, node->id=2196, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820718, node->id=2197, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820718, node->id=4614, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820718, node->id=4615, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820719, node->id=2197, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820719, node->id=2198, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820719, node->id=4615, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820719, node->id=4616, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820720, node->id=2198, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820720, node->id=2199, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820720, node->id=4616, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820720, node->id=4617, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820721, node->id=2199, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820721, node->id=2200, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820721, node->id=4617, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820721, node->id=4618, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820722, node->id=2200, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820722, node->id=2201, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820722, node->id=4618, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820722, node->id=4619, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820723, node->id=2201, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820723, node->id=2202, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820723, node->id=4619, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820723, node->id=4620, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=1, tick=23640820724, node->id=2202, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=1, tick=23640820724, node->id=2203, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] callback,sys->id=3, tick=23640820724, node->id=4620, node->name=COMP_NODE_FWD_iter2_b7_ffwd_compute, node->type=4
[2026-02-15 03:22:05.351] [workload] [debug] issue,sys->id=3, tick=23640820724, node->id=4621, node->name=COMP_NODE_FWD_iter2_b7_attention_compute, node->type=4
